signal_index,file_name,free_text_sensory,free_text_emotional,free_text_association
153,2411151103110.json,Sensation felt slippery and discomfortable,Sensation made me feelIt made me feel nervous and panicky,Sensation Felt like slipping on a upwards slide.
153,2411121648110.json,this sensation is very confusing.it starts with two strong buzzes tapering with short mild ones.	,this sensation makes me feel very confusing.,this sensation reminds me of solving a math problem.
153,2411121537110.json,"It was a very soft yet high frequence long vibration, followed by muffled sporadic burst of vibrations.	",It made me feel stagnant.,It reminds me of a dying engine.
153,2411141111110.json,I would describe this senation as a swollen pulsing.,This sensation makes me feel uncomfortable.,This sensation reminds me of a bad headache.
153,2411151004110.json,I would describe the sensation as one long vibration followed by a much shorter vibration.,N.A,This sensation reminds me of waking up to alarm that I did not set. 
153,2411131621110.json,Its intense and changing frequency.,It makes me feel impatient.,It reminds of trying to escape the traffic by speeding.
153,2411131121110.json,The signal gives me the sensation for intensing moving.,It makes me to feel arousing and noising.,It makes me to associated to study in a loud room.
153,2411141349110.json,This sensation feels like two vibrations together in intervals,This sensation make me feel doubtful,NA
153,2411141231110.json,There's one long vibration followed by six short vibrations.	,The sensation makes me feel worried.,It reminds me of the time I was late to class.
162,2411130944110.json,This signal can be described as a signal with waning intensity or becoming less instense untill it stops.,I feel like defeated.,This signal reminds me of missing a basketball shot and the basket keep vibrating and stops.
162,2411151103110.json,Sensation felt very steady long vibrating,Sensation made me feel Worried and guarded,Sensation felt like someones hungry stomach sound.
162,2411121648110.json,this sensation has short and repetative pattern with mild tone,this sensation makes me feel irritating,this sensation reminds me of doing someting i dont want to.
162,2411121537110.json,It was just ony long low frequency vibration that gradually decrese in implitude.,It makes me feel calm and content.,The vibrations is really similar to a cat's purr.
162,2411141111110.json,This sensation is like a low constant vibration.,This sensation makes me feel cautious.,This sensation  reminds me of a bad earthquake.
162,2411151004110.json,I would describe the sensation to someone else as a low humming sound as if there was construction work being done somewhat near my house.,The sensation makes me feel comfortable. ,This sensation reminds me of a drill. 
162,2411131621110.json,The sensation is less intense and smooth.,It makes me feel relaxed.,It reminds of massage.
162,2411131121110.json,The signal give me the sensation for moving slowing.,It makes me to feel like steady and calm.,It makes me to associated to walk quietly on my way home.
162,2411141349110.json,This sensation is contionous and single vibration,It makes me feel numb,NA
162,2411141231110.json,The sensation feels like a long vibration that dies down.,It makes me feel tired or unfocused.,It reminds me of driving on a dirt/gravel road.
155,2411130944110.json,This signal can be described as two small beats followed by a sudden burst of vibration or intensity.,I felt like I am alert.,"This is reminds me of something we say sixth sense, we sense that something is not right and keep observing and we find something or we obseve something all of a sudden. more like spidey sense."
155,2411151103110.json,Sensation felt very buzzing and machine like,NA,Sensation felt like someone is operating a buzzing machine
155,2411121648110.json,this sensation starts with two short beeps followed by 3 harsh buzz,this sensation makes me feel determined.,this sensation reminds me of being determined for my coursework
155,2411121537110.json,The sensation was two soft barely noticable pulse followed by three high frequency vibration where the interval between those three vibration gradually decreases.,It made me feel cheerful.,It reminds me of some of the orchestra I heard where they transition between movement.
155,2411141111110.json,I would describe this sensation as a clapclap dumdumdum.,N.A.,This sensation reminds me of a exciting phone alarmm vibration.
155,2411151004110.json,I would describe the sensation as a strong stable vibration to someone else.,The sensation makes me feel uncomfortable and anxious,The sensation feels as if someone is shouting at me for a mistake.
155,2411131621110.json,The sensation is varrying between intense and non intense bips.,It feels alarming.,It feels like a fire alarm.
155,2411131121110.json,The signal gives me the sensation for moving not really smoothly.,It makes me feel like a little bit panic and anxious.,It makes me to associated to not make my homework before the due.
155,2411141349110.json,This sensation is harsh at first and smooth in the next rythm,NA,NA
155,2411141231110.json,"It feels like two small vibrations followed by two big and long vibration, but there's a stop in the middle of the second big vibration.",It reminds me of the feeling of fear or surprise.,The sensation reminds me of the action of being scared. One moment it's fine the second moment there's a big jump.
156,2411130944110.json,This signal can be decribed as continuous and ends with mild intense vibration.,I feel like joyful.,This reminds me of a movie scene in which a couple starts dating.
156,2411151103110.json,Sensation felt fuzzy and stimulating ,Sensation made me feel calm and joyful,Sensation felt like a massage.
156,2411121648110.json,"this sensation are very puzzeled, it starts with short beeps followed by a wavey nature.",this sensation makes me feel very puzzled.,this sensation reminds me of playing chess.
156,2411121537110.json,"It was three long vibration with no pauses in between, the first and last vibration was lower in frequency and the middle one was higher frequency and stronger as well.",It made me feel daunted.,It reminds me like the background music when you are fighting against an enemy in a video game.
156,2411141111110.json,This sensation is like a raspy droning.,This sensationmakes me feel annoyed.,This sensation reminds me of wheezing.
156,2411151004110.json,I would describe the sensation as two fairly strong vibrations with a small gap in between to someone else.,N.A,The sensation reminds me of driving over two rough small patches of road back to back. 
156,2411131621110.json,The sensation if intense and varying frequency.,It makes me feel energetic.,It reminds me of riding a motorcycle.
156,2411131121110.json,The signals give me the sensation for moving somewhat regularly.,It makes me to feel I need to be attention.,It makes me to associated to get up in the moring when my clock is ringring.
156,2411141349110.json,This sentation makes me feel something is going in circles,It makes me feel dizzy,NA
156,2411141231110.json,It's a low vibration with a big vibration in the middle.,It fills me with the feeling of surprise.,It reminds me of suddenly braking in a car.
157,2411130944110.json,This signal can be descirbed as three intense beats and pause,i felt like i am agitated.,This reminds me of shooting someone in a RPG games like PUBG. 
157,2411151103110.json,Sensation felt like a rhythmical and steady,Sensation made me feel Confident and proud,Sensation felt like the vibrations I get from using a automatic Machine gun in a game.
157,2411121648110.json,this sensation is like short continous beeps along with a two strong beeps palying together..,this sensation makes me feel scared.,this sensation reminds me of watching a scary movie.
157,2411121537110.json,It was a soft high frequency vibration interminently spotted by a higher energy vibration.,The sensation makes me feel alive.,It reminds me of the background radiomagnetic noise of the universe.
157,2411141111110.json,This sensation is like the subtle chopping of sound waves.,This sensation makes me feel constricted.,This sensation reminds me of the sound of a nearby helicopter or large fan.
157,2411151004110.json,I would describe the sensation as three weak short pulses.,The sensation makes me feel happy.,The sensation reminds of when I go hiking and hear insect sounds.
157,2411131621110.json,The sensation is changing frequency at first and becomes smooth.,It makes me feel encouraged.,It reminds me of the feeling of getting something done.
157,2411131121110.json,The signals gives me the sensation for a little bit intense moving.,It makes me feel  nervious and hesitant.,It makes me to associated that I am calling to someone and wait for his/her's answer.
157,2411141349110.json,This sensation is soft an single vibration,It makes me feel patient,It reminds me of listening to smooth music
157,2411141231110.json,The sensation is a bunch of rapid vibrations followed by a long vibration followed by a weak long vibration.,"The sensation makes me feel surprised, but more in the sense of feeling like something is weird or unexpected.",It reminds me of a lawnmower or a weak electric razor.
158,2411130944110.json,This signal can be described as a continuous signal with low intensity but noticeable.,I felt like I am confused.,"This signal reminds me like when a microwave is done heating and it will alert us or a rice cooker makes whistle. We like notice the signal, however won't do anything or can't do anything."
158,2411151103110.json,Sensation was sticky and weird,Sensation made me feel discomfortable.,NA
158,2411121648110.json,this sensation has a repetative patterns of strong short beeps with a rythimic pattern,this make me feel like i am energized.,it reminds me of playing a song i like
158,2411121537110.json,"It was around 5 waves of vibration of the same pitch but different duration, the first wave was twice as long as the rest. The duration of the rest of the waves were similar but there is a light decrese in duration as it progresses.",It made me more energized.,N/A
158,2411141111110.json,This sensation is like an impatient buzzing.,This sensation makes me feel anxious.,This sensation reminds me of a phone alarm.
158,2411151004110.json,I would describe the sensation as four to five low frequency periodic pulses to someone else,The sensation makes me feel alert.,This sensation reminds me of when I walk past a growling dog.
158,2411131621110.json,The sensation is like a music beat.,It makes me feel joyful.,It reminds me of music.
158,2411131121110.json,The signals gives me the sensation for moving slightly intense.,It makes me feel like I  am somewhat tired.,It makes me to associated that I am sleep not really well last nigh.
158,2411141349110.json,This sensation starts smooth but its mild in the end,NA,NA
158,2411141231110.json,There's 4 short vibrations followed by a long vibration.,It makes me feel bored or unfocused.,It reminds me of doing a tedious task or shooting a pistol and then shooting an automatic gun.
159,2411130944110.json,This signal can be described as continous low intensity signal.,N.A,N.A
159,2411151103110.json,Sensation was very tender and neutral,Sensation made me feel like I was drained and Exhausted,Sensation felt like a amchine trying to sends its co-ordinates before shutting down.
159,2411121648110.json,this sensation is very short and mild.,this sensation makes me feel sad.,this sensation reminds me of losing in a game
159,2411121537110.json,"It was soft rhythmic pulses of vibration, the initial vibration was the longest and the other were shorter.",It made me feel sleepy.,It reminds me of the humm of an AC.
159,2411141111110.json,This sensation is like passive dragging.,This sensation makes me feel contempt.,This sensation reminds me of a massage gun.
159,2411151004110.json,I would describe the sensation to someone else as a very weak pulse.,N.A,This sensation reminds of when a small piece of plastic is stuck in my bicycles wheel and I do not stop to remove that piece.
159,2411131621110.json,The sensation is not intense and feels like fading.,It makes me feel like defeated.,It reminds me of missing a deadline.
159,2411131121110.json,The signal gives me the sensation for moving slow and slightly.,It makes me to feel exhusted and burn out.,It makes me to associated to run for 10 km mathroon.
159,2411141349110.json,this sensation is contious first and ends with 2 beats ,It makes me feel like distracted,NA
159,2411141231110.json,It's 4 short vibrations followed by two short but slower rhythm vibrations.,It makes me feel like something's ending.,It reminds me of an audience clapping and then it slowing down.
160,2411130944110.json,This signal can be described as a random signal.,N.A,N.A
160,2411151103110.json,Sensation was intense and sporadic and aggressive with vibrating and buzzing sensation.,Sensation made me feel agitated.,Sensation felt like an emergency alarm.
160,2411121648110.json,this sensation is a mixed of strong buzzes which ends with a continous buzz.,this sensation makes me feel being controlled.,this sensation reminds me of being in a examination room.
160,2411121537110.json,It was alternating lower and stronger vibrations and higher and softer vibration repeating twice where the last vibration was the softer and higher frequence vibration being held longer.,It made me feel alert.,It reminds me of a Nokia ringtone.
160,2411141111110.json,This sensation is like a stomp stomp roar.,This snesation maes me feel shaken.,This sensation reminds me of a vibration coming from an adjacent room.
160,2411151004110.json,I would describe the sensation as a strong continous vibration to someone else.,The sensation makes me feel strong.,The sensation reminds me of when I shoot a gun in a gameplay. 
160,2411131621110.json,The sensation is changing frequency and is intense.,It makes me feel confused as it keeps changing the pattern.,It reminds me of attending a mexican program where I dont understand the language.
160,2411131121110.json,The signal gives me the sensation for moving slightly neat and fast.,It makes me to feel funny and energetic.,It makes me to associated that I have a pleasureable chat with my friend.
160,2411141349110.json,I can feel three vibrations at once all feel smooth,This makes me feel baffled,NA
160,2411141231110.json,It's a long vibration followed by two medium length vibrations followed by another long vibration.,It makes me feel excited like there's something going on.,It reminds me of beyblades like there's an intense battle going on.
129,2411121048190.json,"I would describe this as a discrete, somewhat fast paced, signal. I would say it not a super strong signal, actually kind of faint. Initial the signal is quite harsh, but leaves in a decaying fashion over about a third of second. ","It makes me feel kind of emotions of whimsy, kind of calming. ",I would say this reminds of like trying to hold on to a butterfly. If it really - in a persistent way - wanted to leave my hands. 
129,2411121345190.json,sensation to someone else feels like a blinking .,NA,sensation feels like blinking an eye.
129,2411120914190.json,This signal has soft consistent vibrations ,This sensation makes me feel pleasant and is enjoyable. ,This sensation reminds me of a massager
129,2411121437190.json,Sensation is a continous beep sound.,Sensation makes me feel energized.,Sensation reminds me of water drops falling.
129,2411061808190.json,"If I were to describe this sensation to someone else, I would say that it is vibrating kind of sensation. It is like my iPhone getting a call from someone and the iPhone starts to vibrate.","The sensation makes me feel more attentive, and sometimes annoying. ","Yes, this does remind me of the alaram that rings everyday on my iPhone when I wake up in the morning."
129,2411091732190.json,i would describe the sensation as continuous beats with fast pace (to be technical with less time period),"sensation make me feel alerted,alarmed,panicky","It reminds me of my alarm,also my panicking/anxious moments."
129,2411071515190.json,I would describe this as fast rhythmic sound.	,This sensation makes me feel energized. ,This reminds of of travelling in a train.
129,2411081047190.json,The sensation felt like tiny soft taps on my palm.	,The sensation makes me feel a bit irritated.,"By brother used to annoy me with such taps till he gets my attention, hence a little annoying."
129,2411091146190.json,"This sensation is quite soft, which is very calm and peaceful it didn't feel anything unsual","Sensation made me feel relaxed and good, its is soft and smooth","This sensation felt like I am handling something quite lite and easy, it reminded me of tiny mobile vibration"
129,2411101817190.json,The sensation is constant and light.,N.A.,The sensation feels like taking a bike ride on a consistent gravel road.
130,2411121048190.json,"I would describe this sensations by telling a person it was a petering sensation. Which initially would come on kind of strong, but would kind roll off and restart. I would describe this as an inconsistent sensation as well. ","This makes me feel kind of uneasy, because the sensation is not smooth.  ","If I had to put this into words. I would say it comes on a little strong and then it feels like a frog croaking. If I were to put an audible sound, like an ontamatapiea (sp?), I would say is feels like, ""crrrr-crrr-crrroak"". Kind over and over again. With short maybe quarter second breaks in between."
130,2411121345190.json,sensation feels like bumpy,sensation make me thrilled	,NA
130,2411120914190.json,This sensation is a contibuous vibration which repeats after a longer duration.,This sensation makes me feel energetic like something is starting,This sensation reminds me of how it feels when a car starts
130,2411121437190.json,Sensation is like a motor running.,Sensation makes me feel baffled.,Sensation felt like a bike reving.
130,2411061808190.json,I would describe this sensation as a calm wave hitting your fingers and also a natural vibration at the same time. ,It makes me feel calm and composed.,This reminds me of the focus music with different hz that are available on youtube. It also reminds me of having control of the steering wheel while the car is not moving.
130,2411091732190.json,The sensation was continuous with medium pace,sensation makes me feel cheerful,It reminds of being active  and cheerful
130,2411071515190.json,I would describe this an inconsistent vibration.		,This makes me feel discomforting.,This reminds me of using a drill machine.
130,2411081047190.json,The sensation felt like a car running on my hand.,The sensation made me feel like I was riding a car on a console and taking a soft right turn.,It kind of reminds me of console car games haptic feedback.
130,2411091146190.json,This sensation felt like I am playing some hard beat music which is energetic,"I felt thrilled through this sensation, I felt excited and thrilled","This sensation felt like I am listening to rock beat music at high volume, it gave me the similar feel and thrill."
130,2411101817190.json,The sensation is light and vibrates at an elongated followed by short time span.,The sensation is annoying as it is triggered on unenven time intervals,The sensation reminds me of pulling a steel wire from a motor.
131,2411121048190.json,I would describe this feeling as a consistent rolling hum. It's not really increasing or decreasing in intensity. You almost can't even feel it if you don't concentrate or are doing something else. ,Although this sensations is very light it makes me feel uneasy. It feels almost like something is about to scare me. ,"You know how people  describe things like, ""this is a quiet as a popcorn fart"". Well this is that feeling corralled into vibration and put on repeat. "
131,2411121345190.json,sensation feels like i can barely feel lt its so light.,NA,NA
131,2411120914190.json,This sensation is continuous with no breaks and very mild 	,This sensation makes me feel calm,This sensation reminds me of water bubbles that generate when a tank is filling.
131,2411121437190.json,Sensation is very mild continous signals.,Sensation is kind of sad.,N.A.
131,2411061808190.json,This is sensation is feeling like air hitting my fingers. I would say something like when you're feeling the wind on your hand. ,This makes me feel more pleasant and comfortable. ,"This reminds me of me keeping my hand out of the car window, and feeling the wind on my hand. "
131,2411091732190.json,ithe sensation describes a continuous weak paced signal,sensation i feel is alive/mild tinkering,it reminds me when i was afar from people arguing 
131,2411071515190.json,I would describe this as smooth consistent vibration.		,This makes me feel calm.,This reminds me of waves at a secluded beach.
131,2411081047190.json,The sensation felt like a growl from my empty stomach.,The sensation makes me feel hungry.,The growling sound or feeling of the empty stomach feels very similar to this sensation.
131,2411091146190.json,This sensation is calm and quite not much vibrant but too soft.,"This  sensation made me feel calm and relaxing, i felt relieved","This is a soft vibration, just felt like water running on my hand"
131,2411101817190.json,The sensation is light and consistent,The sensation feels constant.,The sensation felt like placing a hand on a small motor
132,2411121048190.json,"I would describe this sensation as unsteady building of signal. Like it starts off wobbly, build for while, then peters out more rapidly than it built up. I would say it takes maybe a second, second and a half, then repeats. ","This sensation makes me feel jubilant. I feel as though I might be celebrating something. Possibly, won a game of MarioKart or something similar. ","If I had to put an action to it, I would say this reminds of like the feedback you get from a riding lawnmower when maybe like the spark plug is bad. Like it turnsover, but it doesn't quite start up.  "
132,2411121345190.json,sensation to feels like very disoriented,NA,feels like ripping some thing .
132,2411120914190.json,This sensation has a series of small quick vibrations with light increase in the vibration at some parts in an erratic pattern,This sensation makes me feel distant,This sensation reminds me starting a bike where its a gradual increase in the engine whirr
132,2411121437190.json,Sensation is increasing at a high rate.,Sensation feels like anxiety.,N.A.
132,2411061808190.json,I would describe this as a combination of my hand feeling the wind and also the door screeching on the floor. ,It makes me feel weird and calm.,"This reminds me of the study music that I hear to, like the vibrations I feel while listening to those different level frequency of sound. "
132,2411091732190.json,the sensation is continous unorgnised / variable ,this sensation make me feel hesitant,it reminds me of situations when i will be hesistant
132,2411071515190.json,I would describe this as uneven vibration with long pause in between.,This sensation makes me feel irritating.,This reminds me of accelration on a bike.
132,2411081047190.json,The sensation felt like a message notification from a nokia phone / tone.,The sensation makes me feel a bit nostalgic.,It reminds me of my first phone which used to vibrate in a similar pattern for message notifications.
132,2411091146190.json,"This sensation felt like a fast paced one, it is fast and energetic",This sensation made me feel like I am not some exciting ride. I felt excited and thrilled.,This sensation is something similar to which I feel doing something exciting and thrilled like when riding bike at high speeds
132,2411101817190.json,The sensation is weird with uneven time interval,The sensation is irritating.,The sensation feels like a cars vibration while changing gear.
133,2411121048190.json,"I would describe this sensation as a low rumble that goes on for about 2/3 seconds, then repeats. ",The sensation or emotion I feel from this feedback is a kind of discontent. It makes me feel as though I'm struggling through something that is tiresome and monotonous. ,"The immediate mental image this reminds me of is Tom or Jerry (whichever one is the mouse) kind of pushing a heavy, for mouse, oval-ish object up a cobblestone path. It is a very faint feeliing very light, but it comes in and out over few seconds. "
133,2411121345190.json,sensation feels like a small 12v motor running at low voltage.,feels like a joyful,feels like i am having a motor of a remote car in my hand.
133,2411120914190.json,This sensation is a continuous dull vibration,This sensation makes me feel calm and relaxed,This sensation reminds me of a massager
133,2411121437190.json,Sensation is so mild vibrations.,Sensation feels like being depressed.,N.A.
133,2411061808190.json,I would describe this sensation as something like using the gun in a videogame to shoot on the target. ,It makes me feel more attentive to my surrondings. ,This is reminds me of the vibration I feel when someone is face timing me on my Mac. 
133,2411091732190.json,the sensation is continuous slow paced,"sensation make me feel content,calm",its reminds me after post mediation time
133,2411071515190.json,I would describe the sensation as consistent but with short pause.,The sensation make me feel electric.,This reminds me of ceiling fan.
133,2411081047190.json,The sensation was very soft and felt long.,N.A.,"The sensation was too soft, but I could feel my heartbeats at my fingertips."
133,2411091146190.json,This sensation is too soft and very light. ,"This sensation made me feel quite confused, it was too light and soft.",This sensation is similar to something which I feel which travelling in a car on highways
133,2411101817190.json,The sensation is calm with short and slightly long time intervals,The sensation is calm.,The sensation reminds me of pulling a thread from a spool.
134,2411121048190.json,I would describe this sensation as a persistent vibration. It builds in an every so slight way over 2/3 second. Then there is about a half-second pause where you still feel faint vibrations. Then it repeats. ,This sensation makes me feel active. The emotion I would attach to is happy kind of fulfilled in the moment contentness. ,"This reminds me of the reverberation of like a snare drum. There is a feeling that builds and even when the drummer stops the sound continues until whatever inside that snare drum stops shaking. However, I would decribe this a an attenuated snare drum, because when the vibration slows it is really quite muted. "
134,2411121345190.json,senstaion feels like a pulse.,NA,feels like the feedback i get from one of the game is used to play.
134,2411120914190.json,This sensation is a combination of a sharp and dull vibration which is not too strong,This sensation makes me feel confused and anxious,It reminds me of water bubbles
134,2411121437190.json,Sensation is like increasing beep sounds.,Sensation feels confused.,Sensation reminds me of someone snoring.
134,2411061808190.json,I would describe this sensation as if someone is holding the steering wheel of a car when it is not moving. ,"It makes me feel a bit annoyed, as I get this feeling becuase of traffic. ","It reminds me of the traffic that I get stuck in sometimes, and I have to hold the steering wheel for a while during that time. "
134,2411091732190.json,it is discontinuous sensation with medium pace which gradually reduces,it make me feel energized,it reminds me of electric sound 
134,2411071515190.json,I would describe the sensation as resistive.	,This sensation makes me feel rusty.,This reminds me of sharpner.
134,2411081047190.json,"The sensation was like a wave, soft tapping increasing in frequency and then fading away.",This sensation makes me feel a little calm.,This reminds me of one of the modes in a massage mat I have at home.
134,2411091146190.json,This sensation felt is soft at start and then fast paced,This sensation made me feel drained. I feel like I regret something,N.A
134,2411101817190.json,The sensation is combination of light and slightly high intensity vibration,The sensation feels like a machine,The sensation reminds me of placing a hand on a printing machine.
135,2411121048190.json,I would describe this feel as a vibration that has about 1.5 second cycle. It is a quick pretty intense vibration followed by a pause follow by a faint vibration. All roughly a second in duration. Then there is a break and it repeats. ,This sensation makes me feel sad. The emotion that I attach to this sensation is helplessness or disheartened. ,This reminds me like hold a dying insect.
135,2411121345190.json,feels like one big vibration contunied by two small vibration,NA,NA
135,2411120914190.json,This sensation has a big vibration followed by a stable dull vibration and this pattern loops ,This sensation makes me feel alert but not sudden,This sensation reminds me of an alarm clock vibration
135,2411121437190.json,N.A.,Sensation feels awkard.,Sensation reminds me of smashing things away.
135,2411061808190.json,I would describe this sensation to someone as if I am shooting someone using my phone in a video game with frequent gaps in between. ,It me feel happy.,It reminds me of the time I played fortnite with my friends and I had to shoot the target using the riffle. 
135,2411091732190.json,it is discontinuous beat with low jass,"it make me feel alive,suprised",it remind me of drums and low beat jass
135,2411071515190.json,I would describe the sensation as two sounds alternating between high and low.,This makes me feel good.,This reminds me of heartbeat.
135,2411081047190.json,"The sensation was like a music pattern. Ba-da-dum dum, Ba-da-dum dum.",This sensation makes me feel a little happy.,N.A.
135,2411091146190.json,This sensation is cheering and it improved my mood,"This sensation made me feel happy and energitic, This is something I need when I am low.",This sensation felt simillar to vibration to playing drums or hearing to someone drum beats
135,2411101817190.json,The sensation has equal rhytm and time.,The sensation makes me feel active,The sensation reminds me of a feeling vibrations of a sound system from a distance.
136,2411121048190.json,"There is a sensations, but its a rather random patern it comes in weak and has a few spots of weaker viabration immediately followed by a little jolt. ",This sensation makes feel defeated. ,"This sensation remind me of when the XBox 360 or Nintendo Wii controllers would get a little weak. Like there is something there, but it's not full functional. "
136,2411121345190.json,feels like there is bump in vibration evry 1sec,sensation make me feel Joyful,this feels like changing the gear of a cycle
136,2411120914190.json,This sensation starts with a slightly bigger vibration and dulls to the lowest one which loops,The sensation makes me feel confident,This sensation reminds me of accelating in pulses
136,2411121437190.json,Sensation is increasingly weird.,Sensation is scary.,Sensation reminds me of scratching something continously.
136,2411061808190.json,"I would describe this sensation to someone as if a strong wave is hitting your fingers, or you are keeping your finger in a fast moving body of water.",It makes me feel calm and pleasant.,"It remind sme of the time when I kept my hand in the swimming pool, and I was trying to swim in the opposite direction of the current. "
136,2411091732190.json,it continuous sensation with sudden rise (you can also consider it jump continuous),it makes me feel reassuring,it reminds of plane instruments when sudden struck by drum.
136,2411071515190.json,I would describe the sensation as random beats.,This sensation makes me feel wierd.,This reminds me of children playing.
136,2411081047190.json,"The sensation was a little coarse, felt like how my phone vibrates when an alarm rings.",Somehow it makes me feel more sleepy.,It reminds me of every morning alarm.
136,2411091146190.json,This sensation felt annoying,I didn't like this sensation i made me confused,"N.A
"
136,2411101817190.json,N.A,The sensation make me feel irritating,The sensation feels like trying to start a broken motorbike
137,2411121048190.json,"This sensation is consistent, building in intensity, but moderate vibration. The intensity is building in stages, but they are hard to discern. ",This sensation makes feel attached. The emotion I would attached to is distraught or distressed. ,This reminds of similarly feeling as in tug-of-war when the rope is sliding beneath your hands. 
137,2411121345190.json,sensation feels like very uncomforatbel and craky.	,NA,feels like rubbing nailes on black board
137,2411120914190.json,This sensation is a long continuous vibration with quickly alternating big and small vibrations which are not sharp,This sensation makes me feel energentic,This sensation reminds me of a heartbeat via a stethescope
137,2411121437190.json,Sensation is continous vibration.,Sensation is angry or annoyed.,Sensation reminds me like drilling a wall or a floor.
137,2411061808190.json,"I would describe this sensation as shooting someone in a video game, the continous vibrations give the feeling of shooting someone multiple times continously. ",It makes me feel aggressive sometimes. ,It reminds me of the shootings in video games. 
137,2411091732190.json,it is continuous with different rythms,"this sensation make me feel energized,encouraged",it reminds me of guitar music
137,2411071515190.json,I would describe the sensation as drill.,This sensation makes me feel annoying.,This reminds me of a rusty machine.
137,2411081047190.json,The sensation was like a long piece of instrumental playing.,The sensation makes me feel good.,"It reminds me of speakers. When you place your hand on a woofer, how the hands vibrate according to the music, it had a similar feeling."
137,2411091146190.json,"This sensation is good, and exciting","It made feel excited, it seems like something is going to happen next moment",This sensation felt similar to being in a stadium and watching a match as it comes to end
137,2411101817190.json,The sensation has light vibration at start and three short vibration of slightly high intensity,The sensation makes me feel irritating,The sensation feels like placing a hand on a radio which is set to a noisy frequency
138,2411121048190.json,"This sensation is very weak. I would say it's discrete you really have to concentrate to feel it. The first sensation, which is barely noticable, occurs for a fraction of second then pauses and repeats. ",N.A.,N.A.
138,2411121345190.json,senstion feels like taking pulse from my hand  like need to concetrate and feel,NA	,felt like i am taking my own pulse from hand
138,2411120914190.json,This sensation is a set of discreet vibrations in a pattern which are dull,This sensation makes me feel curious,This sensation reminds me of characters moving and jumping on video games
138,2411121437190.json,Sensation is very soft.,Sensation makes me feel empty.,N.A.
138,2411061808190.json,I would describe this sensation as you feeling the vibration of the sound when you are walking across multiple theatre screens. ,It makes me feel happy.,It reminds me about the time when I was walking to my screen in the theatre and I could feel this sensation coming from another near by screen. 
138,2411091732190.json,it is continuous sensationmay be,it make me feel guarded,it reminds of heartbeat of other person hearing from afar
138,2411071515190.json,I would describe the sensation as low consistent beats.	,This sensation make me feel comforted.,This reminds me of sound of a heartbeat.
138,2411081047190.json,"The sensation was very mild, like a little scratch from an ant.",N.A.,N.A.
138,2411091146190.json,This felt very soft and comfortable,This sensation felt very soft and confusing at the same time. I felt confused because it is too soft recognize,This sensation felt like listening my own heartbeat
138,2411101817190.json,The sensation intensity is too low.,N.A.,The sensation reminds me of the vibration I feel when I place my hand on a wall behind which a speaker with low volume is being played
139,2411121048190.json,"I would describe this vibration as a repeated vibration. However, it hard to describe other than stuttering and kind of random. ",This sensation makes feel kind of choked up. An emotion that I could attached to would be dejected. ,This sensation reminds me of a weak cough. 
139,2411121345190.json,sesnation feels like something is getting harsly pulled over a concrete road	 ,feels like crushed	,NA
139,2411120914190.json,This sensation is a scratchy vibration which starts off less and increases in duration,This sensation makes me feel impatient,This reminds me of scratching a chalkboard with chalk
139,2411121437190.json,N.A.,Sensation is weird.,Sensation reminds me of unzippping a sweater.
139,2411061808190.json,I would describe this feeling as imagine if you are keeping your hands in a speaker which is submerged under water and playing sounds. ,This makes me feel curious.,It remind sme of the time when I put my speaker in the swimming pool and it was playing some sounds and I kept my hand on it when it was submerged. 
139,2411091732190.json,it is highly fluctuating sensation,it make me feel reluctant,NA
139,2411071515190.json,I would describe the sensation as upbeat.,This sensation make me feel thrilling.,This reminds me of a horror movie background.
139,2411081047190.json,"This sensation felt like I was trying to close a zipper on a bag,",This sensation made me feel a bit hurried.,"It reminds me of trying to forcibly close the old rusted chains / zipper of my old bag,"
139,2411091146190.json,This sensation made me feel the buzz and it enjoyable,This sensation made me feel like I am listening to some music and It felt like good and joyful,This sensation reminded me of being in a music concert or playing some music
139,2411101817190.json,The sensation is combination of low and high intensity with unenven time intervals.,N.A.,The sensation reminds me of an ATM machine dispensing cash.
140,2411121048190.json,I would describe this sensation as consistent and wave-like. Ebbing and flowing about every .5-1 second. ,This sensation makes me feel a little surreal. The emotion I would attach to it are kind of like fuzzy or foggy. ,This reminds of some like shooting a taser or going through a portal in video game. 
140,2411121345190.json,senstaion feels like a soothing wave form	,semsation make me feell energized,feels like a neck massager in my hand with low intensity.
140,2411120914190.json,This sensation feels like long pulses of short quick vibration,This sensation makes me feel annoyed ,This sensation reminds me of using a blender and loud noises in the morning
140,2411121437190.json,Sensation is a wave like feeling.,Sensation is afraid.,Sensation reminds me of starting an engine.
140,2411061808190.json,"I would describe this sensation to someone as if their phone is placed on the table, and it is ringing alot and that person is not answering the phone, the vibration felt in the table and the sound heard.  ","It makes me feel less attentive, and more distracted. ","This reminds me of the time when I kept my iPhone on siltent, and it was ringing alot and was kept on a hard surface. "
140,2411091732190.json,it is a continuous smooth increasing sensation,it make me feel encouraged,it reminds me of phone vibration
140,2411071515190.json,I would describe this as linearly increasing vibrations.,This sensation makes me feel active.,This reminds me of edm before the beat drop.
140,2411081047190.json,"The sensation was like a quick burst of of rhytm, or like a frogs croaks.",This sensation made me feel bloated.,This reminds me of a frogs croaking.
140,2411091146190.json,This sensation felt draining like something flowing out of your hand,This sensation made me feel drained and I felt as if something bad is happening,This reminded me if time we feel tensed and scared about something to happen
